Iteration,min
1,23.5014
2,22.3215
3,22.3215
4,22.3215
5,22.3215
6,22.1116
7,22.1116
8,22.1116
9,22.1116
10,22.1116
11,22.1116
12,21.8917
13,21.8917
14,21.8917
15,21.8917
16,21.8917
17,21.8917
18,21.8917
19,21.8917
20,21.8917
21,21.8917
22,21.8917
23,21.8917
24,21.8917
25,21.8917
26,21.7616
27,21.7217
28,21.4216
29,21.4216
30,21.4216
31,21.4216
32,21.4216
33,21.4216
34,21.4216
35,21.4216
36,21.4216
37,21.4216
38,21.3317
39,21.3317
40,21.3317
41,21.3317
42,21.3317
43,21.3317
44,21.3317
45,21.3317
46,21.3317
47,21.3317
48,21.3317
49,21.3317
50,21.3317
51,21.3317
52,21.3317
53,21.3317
54,21.3317
55,21.3317
56,21.3317
57,21.3317
58,21.3317
59,21.3317
60,21.3317
61,21.3317
62,21.3317
63,21.3317
64,21.3317
65,21.3317
66,21.3317
67,21.3317
68,21.3317
69,21.3317
70,21.3317
71,21.3317
72,21.3317
73,21.3317
74,21.3317
75,21.3317
76,21.3317
77,21.3317
78,21.3317
79,21.3317
80,21.3317
81,21.3317
82,21.3317
83,21.2916
84,21.2916
85,21.2916
86,21.2916
87,21.2916
88,21.2916
89,21.2916
90,21.2916
91,21.2916
92,21.2916
93,21.2916
94,21.2715
95,21.2715
96,21.2715
97,21.2715
98,21.2715
99,21.2715
100,21.2715
101,21.2715
102,21.2715
103,21.2715
104,21.2715
105,21.2715
106,21.2715
107,21.2715
108,21.2715
109,21.2715
110,21.2715
111,21.2715
112,21.2715
113,21.2715
114,21.2715
115,21.2715
116,21.2715
117,21.2715
118,21.2715
119,21.2715
120,21.2715
121,21.2715
122,21.2715
123,21.2715
124,21.2715
125,21.2715
126,21.2715
127,21.2715
128,21.2715
129,21.2715
130,21.2715
131,21.2715
132,21.2715
133,21.2715
134,21.2715
135,21.2715
136,21.2715
137,21.2715
138,21.2715
139,21.2715
140,21.2715
141,21.2715
142,21.2316
143,21.2015
144,21.2015
145,21.2015
146,21.2015
147,21.2015
148,21.2015
149,21.2015
150,21.2015
151,21.2015
152,21.2015
153,21.2015
154,21.2015
155,21.2015
156,21.2015
157,21.2015
158,21.2015
159,21.2015
160,21.2015
161,21.2015
162,21.2015
163,21.2015
164,21.2015
165,21.2015
166,21.2015
167,21.2015
168,21.2015
169,21.2015
170,21.2015
171,21.2015
172,21.2015
173,21.2015
174,21.2015
175,21.2015
176,21.2015
177,21.2015
178,21.2015
179,21.2015
180,21.2015
181,21.2015
182,21.2015
183,21.2015
184,21.2015
185,21.2015
186,21.2015
187,21.2015
188,21.2015
189,21.2015
190,21.2015
191,21.2015
192,21.2015
193,21.2015
194,21.2015
195,21.2015
196,21.2015
197,21.2015
198,21.2015
199,21.2015
200,21.2015
201,21.2015
202,21.2015
203,21.2015
204,21.2015
205,21.2015
206,21.2015
207,21.2015
208,21.2015
209,21.2015
210,21.2015
211,21.2015
212,21.2015
213,21.2015
214,21.2015
215,21.2015
216,21.2015
217,21.2015
218,21.2015
219,21.2015
220,21.2015
221,21.2015
222,21.2015
223,21.2015
224,21.2015
225,21.2015
226,21.2015
227,21.2015
228,21.2015
229,21.2015
230,21.2015
231,21.2015
232,21.2015
233,21.2015
234,21.2015
235,21.2015
236,21.2015
237,21.2015
238,21.2015
239,21.2015
240,21.2015
241,21.2015
242,21.2015
243,21.2015
244,21.2015
245,21.2015
246,21.2015
247,21.2015
248,21.2015
249,21.2015
250,21.2015
