iter,best_vals,current_vals
0,22.3215,23.3912
1,22.3215,23.801099999999998
2,22.3215,23.4712
3,22.3215,23.2511
4,22.3215,23.421000000000003
5,22.3215,22.9811
6,22.3215,22.5812
7,22.3215,22.5812
8,22.311300000000003,22.311300000000003
9,22.311300000000003,22.311300000000003
10,22.0014,22.0014
11,22.0014,22.0014
12,22.0014,22.0014
13,22.0014,22.0213
14,22.0014,22.0213
15,22.0014,22.0213
16,22.0014,22.0213
17,22.0014,22.0213
18,22.0014,22.0212
19,22.0014,22.0212
20,22.0014,22.0212
21,22.0014,22.0212
22,21.7913,21.7913
23,21.6814,21.6814
24,21.6315,21.6315
25,21.6315,21.6315
26,21.6315,21.6315
27,21.6315,21.6315
28,21.6315,21.6315
29,21.6315,21.6315
30,21.6315,21.6315
31,21.6315,21.6315
32,21.6315,21.6315
33,21.6315,21.6315
34,21.6315,21.6315
35,21.6315,21.6315
36,21.6315,21.6315
37,21.6315,21.6315
38,21.6315,21.6315
39,21.6116,21.6116
40,21.6116,21.6116
41,21.551699999999997,21.551699999999997
42,21.551699999999997,21.551699999999997
43,21.2916,21.2916
44,21.2916,21.2916
45,21.2916,21.2916
46,21.2916,21.2916
47,21.2916,21.2916
48,21.2916,21.2916
49,21.2916,21.2916
50,21.2916,21.2916
51,21.2916,21.2916
52,21.2916,21.2916
53,21.2916,21.2916
54,21.2916,21.2916
55,21.2916,21.2916
56,21.2916,21.2916
57,21.2916,21.2916
58,21.2916,21.2916
59,21.2916,21.2916
60,21.2916,21.2916
61,21.2916,21.2916
62,21.2916,21.2916
63,21.2916,21.2916
64,21.2916,21.2916
65,21.2916,21.2916
66,21.2916,21.2916
67,21.2916,21.2916
68,21.2916,21.2916
69,21.2916,21.2916
70,21.2916,21.2916
71,21.2916,21.2916
72,21.2916,21.2916
73,21.2916,21.2916
74,21.2916,21.2916
75,21.2916,21.2916
76,21.2916,21.2916
77,21.2916,21.2916
78,21.2916,21.2916
79,21.2916,21.2916
80,21.2916,21.2916
81,21.2916,21.2916
82,21.2916,21.2916
83,21.2916,21.2916
84,21.2916,21.2916
85,21.2916,21.2916
86,21.2916,21.2916
87,21.2916,21.2916
88,21.2916,21.2916
89,21.2916,21.2916
90,21.2916,21.2916
91,21.2916,21.2916
92,21.2916,21.2916
93,21.2916,21.2916
94,21.2916,21.2916
95,21.2916,21.2916
96,21.2916,21.2916
97,21.2916,21.2916
98,21.2916,21.2916
99,21.2916,21.2916
100,21.2916,21.2916
101,21.2916,21.2916
102,21.2916,21.2916
103,21.2916,21.2916
104,21.2916,21.2916
105,21.2916,21.2916
106,21.2916,21.2916
107,21.2916,21.2916
108,21.2916,21.2916
109,21.2916,21.2916
110,21.2916,21.2916
111,21.2916,21.2916
112,21.2916,21.2916
113,21.2916,21.2916
114,21.2916,21.2916
115,21.2916,21.2916
116,21.2916,21.2916
117,21.2916,21.2916
118,21.2916,21.2916
119,21.2916,21.2916
120,21.2916,21.2916
121,21.2916,21.2916
122,21.2916,21.2916
123,21.2916,21.2916
124,21.2916,21.2916
125,21.2916,21.2916
126,21.2916,21.2916
127,21.2916,21.2916
128,21.2916,21.2916
129,21.2916,21.2916
130,21.2916,21.2916
131,21.2916,21.2916
132,21.2916,21.2916
133,21.2916,21.2916
134,21.2916,21.2916
135,21.2916,21.2916
136,21.2916,21.2916
137,21.2916,21.2916
138,21.2916,21.2916
139,21.2916,21.2916
140,21.2916,21.2916
141,21.2916,21.2916
142,21.2916,21.2916
143,21.2916,21.2916
144,21.2916,21.2916
145,21.2916,21.2916
146,21.2916,21.2916
147,21.2916,21.2916
148,21.2916,21.2916
149,21.2916,21.2916
150,21.2916,21.2916
151,21.2916,21.2916
152,21.2916,21.2916
153,21.2916,21.2916
154,21.2916,21.2916
155,21.2916,21.2916
156,21.2916,21.2916
157,21.2916,21.2916
158,21.2916,21.2916
159,21.2916,21.2916
160,21.2916,21.2916
161,21.2916,21.2916
162,21.2916,21.2916
163,21.2916,21.2916
164,21.2916,21.2916
165,21.2916,21.2916
166,21.2916,21.2916
167,21.2916,21.2916
168,21.2916,21.2916
169,21.2916,21.2916
170,21.2916,21.2916
171,21.2916,21.2916
172,21.2916,21.2916
173,21.2916,21.2916
174,21.2916,21.2916
175,21.2916,21.2916
176,21.2916,21.2916
177,21.2916,21.2916
178,21.2916,21.2916
179,21.2916,21.2916
180,21.2916,21.2916
181,21.2916,21.2916
182,21.2916,21.2916
183,21.2916,21.2916
184,21.2916,21.2916
185,21.2916,21.2916
186,21.2916,21.2916
187,21.2916,21.2916
188,21.2916,21.2916
189,21.2916,21.2916
190,21.2916,21.2916
191,21.2916,21.2916
192,21.2916,21.2916
193,21.2916,21.2916
194,21.2916,21.2916
195,21.2916,21.2916
196,21.2916,21.2916
197,21.2916,21.2916
198,21.2916,21.2916
199,21.2916,21.2916
200,21.2916,21.2916
201,21.2916,21.2916
202,21.2916,21.2916
203,21.2916,21.2916
204,21.2916,21.2916
205,21.2916,21.2916
206,21.2916,21.2916
207,21.2916,21.2916
208,21.2916,21.2916
209,21.2916,21.2916
210,21.2916,21.2916
211,21.2916,21.2916
212,21.2916,21.2916
213,21.2916,21.2916
214,21.2916,21.2916
215,21.2916,21.2916
216,21.2916,21.2916
217,21.2916,21.2916
218,21.2916,21.2916
219,21.2916,21.2916
220,21.2916,21.2916
221,21.2916,21.2916
222,21.2916,21.2916
223,21.2916,21.2916
224,21.2916,21.2916
225,21.2916,21.2916
226,21.2916,21.2916
227,21.2916,21.2916
228,21.2916,21.2916
229,21.2916,21.2916
230,21.2916,21.2916
231,21.2916,21.2916
232,21.2916,21.2916
233,21.2916,21.2916
234,21.2916,21.2916
235,21.2916,21.2916
236,21.2916,21.2916
237,21.2916,21.2916
238,21.2916,21.2916
239,21.2916,21.2916
240,21.2916,21.2916
241,21.2916,21.2916
242,21.2916,21.2916
243,21.2916,21.2916
244,21.2916,21.2916
245,21.2916,21.2916
246,21.2916,21.2916
247,21.2916,21.2916
248,21.2916,21.2916
249,21.2916,21.2916
250,21.2916,21.2916
251,21.2916,21.2916
252,21.2916,21.2916
253,21.2916,21.2916
254,21.2916,21.2916
255,21.2916,21.2916
256,21.2916,21.2916
257,21.2916,21.2916
258,21.2916,21.2916
259,21.2916,21.2916
260,21.2916,21.2916
261,21.2916,21.2916
262,21.2916,21.2916
263,21.2916,21.2916
264,21.2916,21.2916
265,21.2916,21.2916
266,21.2916,21.2916
267,21.2916,21.2916
268,21.2916,21.2916
269,21.2916,21.2916
270,21.2916,21.2916
271,21.2916,21.2916
272,21.2916,21.2916
273,21.2916,21.2916
274,21.2916,21.2916
275,21.2916,21.2916
276,21.2916,21.2916
277,21.2916,21.2916
278,21.2916,21.2916
279,21.2916,21.2916
280,21.2916,21.2916
281,21.2916,21.2916
282,21.2916,21.2916
283,21.2916,21.2916
284,21.2916,21.2916
285,21.2916,21.2916
286,21.2916,21.2916
287,21.2916,21.2916
288,21.2916,21.2916
289,21.2916,21.2916
290,21.2916,21.2916
291,21.2916,21.2916
292,21.2916,21.2916
293,21.2916,21.2916
294,21.2916,21.2916
295,21.2916,21.2916
296,21.2916,21.2916
297,21.2916,21.2916
298,21.2916,21.2916
299,21.2916,21.2916
300,21.2916,21.2916
301,21.2916,21.2916
302,21.2916,21.2916
303,21.2916,21.2916
304,21.2916,21.2916
305,21.2916,21.2916
306,21.2916,21.2916
307,21.2916,21.2916
308,21.2916,21.2916
309,21.2916,21.2916
310,21.2916,21.2916
311,21.2916,21.2916
312,21.2916,21.2916
313,21.2916,21.2916
314,21.2916,21.2916
315,21.2916,21.2916
316,21.2916,21.2916
317,21.2916,21.2916
318,21.2916,21.2916
319,21.2916,21.2916
320,21.2916,21.2916
321,21.2916,21.2916
322,21.2916,21.2916
323,21.2916,21.2916
324,21.2916,21.2916
325,21.2916,21.2916
326,21.2916,21.2916
327,21.2916,21.2916
328,21.2916,21.2916
329,21.2916,21.2916
330,21.2916,21.2916
331,21.2916,21.2916
332,21.2916,21.2916
333,21.2916,21.2916
334,21.2916,21.2916
335,21.2916,21.2916
336,21.2916,21.2916
337,21.2916,21.2916
338,21.2916,21.2916
