Iteration,min
0,-8.6
1,-8.6
2,-8.6
3,-8.6
4,-8.6
5,-8.6
6,-8.6
7,-8.6
8,-8.6
9,-8.6
10,-8.6
11,-8.6
12,-8.6
13,-8.6
14,-8.6
15,-8.6
16,-8.6
17,-8.6
18,-8.6
19,-8.6
20,-8.6
21,-8.6
22,-8.6
23,-8.6
24,-8.6
25,-8.6
26,-8.6
27,-8.6
28,-8.6
29,-8.6
30,-8.6
31,-8.6
32,-8.6
33,-8.6
34,-8.6
35,-8.6
36,-8.6
37,-8.6
38,-8.6
39,-8.6
40,-8.6
41,-8.6
42,-8.6
43,-8.6
44,-8.6
45,-8.6
46,-8.6
47,-8.6
48,-8.6
49,-8.6
50,-8.6
51,-8.6
52,-8.6
53,-8.6
54,-8.6
55,-8.6
56,-8.6
57,-8.6
58,-8.6
59,-8.6
60,-8.6
61,-8.6
62,-8.6
63,-8.6
64,-12.7
65,-12.7
66,-12.8
67,-12.8
68,-12.8
69,-12.8
70,-12.8
71,-12.9
72,-12.9
73,-12.9
74,-12.9
75,-12.9
76,-12.9
77,-12.9
78,-12.9
79,-12.9
80,-12.9
81,-12.9
82,-12.9
83,-12.9
84,-13.1
85,-13.1
86,-13.1
87,-13.1
88,-13.1
89,-13.1
90,-13.1
91,-13.1
92,-13.1
93,-13.1
94,-13.1
95,-13.1
96,-13.1
97,-13.1
98,-13.1
99,-13.1
100,-13.1
101,-13.1
102,-13.1
103,-13.1
104,-13.1
105,-13.1
106,-13.1
107,-13.1
108,-13.1
109,-13.1
110,-13.1
111,-13.1
112,-13.1
113,-13.1
114,-13.1
115,-13.1
116,-13.1
117,-13.1
118,-13.1
119,-13.6
120,-13.6
121,-13.6
122,-13.6
123,-13.6
124,-13.6
125,-13.6
126,-13.6
127,-13.6
128,-13.6
129,-13.6
130,-13.6
131,-13.6
132,-13.6
133,-13.6
134,-13.6
135,-14.8
136,-14.8
137,-14.8
138,-14.8
139,-14.8
140,-14.8
141,-14.8
142,-14.8
143,-14.8
144,-15.7
145,-15.7
146,-15.7
147,-15.7
148,-15.7
149,-15.7
150,-15.7
151,-15.7
152,-15.7
153,-15.7
154,-15.7
155,-15.7
156,-15.7
157,-15.7
158,-15.7
159,-15.7
160,-15.7
161,-15.7
162,-15.7
163,-15.7
164,-15.7
165,-15.7
166,-15.7
167,-15.7
168,-15.7
169,-15.7
170,-15.7
171,-15.7
172,-15.7
173,-15.7
174,-15.7
175,-15.7
176,-15.7
177,-15.7
178,-15.7
179,-15.7
180,-15.7
181,-15.7
182,-15.7
183,-15.7
184,-15.7
185,-15.7
186,-15.7
187,-15.7
188,-15.7
189,-15.7
190,-15.7
191,-15.7
192,-15.7
193,-15.7
194,-15.7
195,-15.7
196,-15.7
197,-15.7
198,-15.7
199,-15.7
200,-15.7
201,-15.7
202,-15.7
203,-15.7
204,-15.7
205,-15.7
206,-15.7
207,-15.7
208,-15.7
209,-15.7
210,-15.7
211,-15.7
212,-15.7
213,-15.7
214,-15.7
215,-15.7
216,-15.7
217,-17
218,-17
219,-17
220,-17
221,-17
222,-17
223,-17
224,-17
225,-17
226,-17
227,-17
228,-17
229,-17
230,-17
231,-17
232,-17
233,-17
234,-17
235,-17
236,-17
237,-17
238,-17
239,-17
240,-17
241,-17
242,-17
243,-17
244,-17
245,-17
246,-17
247,-17
248,-17
249,-17
250,-17
