iter,best_vals,current_vals
0,-8.6,0.0
1,-8.6,-5.8
2,-17.3,-17.3
3,-17.3,-7.8
4,-17.3,-5.1
5,-17.3,-7.2
6,-17.3,-9.1
7,-17.3,-2.3
8,-17.3,0.0
9,-17.3,-5.7
10,-17.3,-2.3
11,-17.3,-3.7
12,-17.3,-6.0
13,-17.3,-4.8
14,-17.3,-4.5
15,-17.3,-3.9
16,-17.3,-0.5
17,-17.3,-9.6
18,-17.3,-9.4
19,-17.3,-9.0
20,-17.3,-6.7
21,-17.3,-0.5
22,-17.3,-6.1
23,-17.3,-5.9
24,-17.3,-5.3
25,-17.3,-3.3
26,-17.3,-2.3
27,-17.3,-8.8
28,-17.3,-2.3
29,-17.3,-6.1
30,-17.3,-5.9
31,-17.3,-4.3
32,-17.3,-7.1
33,-17.3,-5.3
34,-17.3,-5.7
35,-17.3,-1.9
36,-17.3,-1.6
37,-17.3,-0.4
38,-17.3,-3.3
39,-17.3,-7.8
40,-17.3,0.0
41,-17.3,-12.4
42,-17.3,-2.4
43,-17.3,-6.7
44,-17.3,-2.1
45,-17.3,-7.1
46,-17.3,-6.6
47,-17.3,-5.3
48,-17.3,-1.3
49,-17.3,-3.5
50,-17.3,-6.6
51,-17.3,-5.7
52,-17.3,-4.6
53,-17.3,-6.1
54,-17.3,-0.2
55,-17.3,-3.5
56,-17.3,-2.2
57,-17.3,-1.6
58,-17.3,-8.4
59,-17.3,-3.1
60,-17.3,-7.3
61,-17.3,-3.3
62,-17.3,-0.9
63,-17.3,-4.9
64,-17.3,-3.1
65,-17.3,-3.4
66,-17.3,-2.8
67,-17.3,-8.4
68,-17.3,-1.3
69,-17.3,-0.6
70,-17.3,-1.9
71,-17.3,-7.1
72,-17.3,-0.8
73,-17.3,-1.1
74,-17.3,-0.3
75,-17.3,-1.2
76,-17.3,-6.1
77,-17.3,-0.9
78,-17.3,-3.4
79,-17.3,-0.8
80,-17.3,-5.1
81,-17.3,-7.0
