iter,best_vals,current_vals
0,-8.6,-4.3
1,-8.6,-4.4
2,-8.6,-0.5
3,-10.0,-10.0
4,-10.0,-4.2
5,-10.0,-8.4
6,-10.0,-2.3
7,-10.0,-3.0
8,-10.0,-6.2
9,-10.0,-1.9
10,-10.0,-6.9
11,-10.0,0.0
12,-10.0,-3.7
13,-10.0,-3.6
14,-10.0,-1.0
15,-10.0,-8.1
16,-10.0,-7.8
17,-12.1,-12.1
18,-12.1,-10.6
19,-12.1,0.0
20,-12.1,-1.8
21,-12.4,-12.4
22,-12.4,-4.7
23,-12.4,-4.5
24,-12.4,-7.4
25,-12.4,-6.4
26,-12.4,-11.6
27,-12.4,-4.0
28,-12.4,-5.4
29,-12.4,-11.6
30,-12.4,-1.8
31,-14.7,-14.7
32,-14.7,-10.6
33,-14.7,-3.2
34,-14.7,-7.4
35,-14.9,-14.9
36,-14.9,-1.3
37,-14.9,-9.7
38,-14.9,-6.7
39,-14.9,-3.9
40,-14.9,-9.8
41,-14.9,-6.3
42,-16.2,-16.2
43,-16.2,-11.3
44,-16.2,-3.5
45,-16.2,-4.0
46,-16.2,-11.8
47,-16.2,-6.4
48,-16.2,-5.9
49,-16.2,-6.2
50,-16.2,-15.3
51,-16.2,-5.3
52,-16.2,0.0
53,-16.2,-3.0
54,-16.2,0.0
55,-16.2,-3.3
56,-16.2,-4.5
57,-17.8,-17.8
58,-17.8,-5.9
59,-17.8,-7.4
60,-17.8,-11.8
61,-17.8,0.0
62,-17.8,-14.9
63,-17.8,-3.7
64,-17.8,-13.8
65,-17.8,-7.4
66,-17.8,-8.4
67,-17.8,-2.2
68,-17.8,-4.0
69,-17.8,-13.5
70,-17.8,-0.4
71,-17.8,-8.6
72,-18.6,-18.6
73,-18.6,-6.8
74,-18.6,-1.3
75,-18.6,-3.6
76,-18.6,-3.7
77,-18.6,-4.1
78,-18.6,-4.1
79,-18.6,-1.4
80,-18.6,-4.4
81,-18.6,-6.5
82,-18.6,-7.0
83,-18.6,-1.9
84,-18.6,-12.9
85,-18.6,-18.3
86,-18.6,-6.9
87,-18.6,0.0
88,-18.6,-3.4
89,-18.6,-3.4
90,-18.6,-15.8
91,-19.8,-19.8
92,-19.8,-3.1
93,-19.8,-2.0
94,-19.8,-4.6
95,-19.8,-0.9
96,-19.8,-3.8
97,-19.8,-3.6
98,-19.8,-5.5
99,-19.8,-15.0
100,-19.8,-6.0
101,-19.8,-1.2
102,-19.8,-0.4
103,-19.8,-13.4
104,-19.8,-13.2
105,-19.8,-2.3
106,-19.8,-4.0
107,-19.8,-10.4
108,-19.8,-3.5
109,-19.8,-10.7
110,-19.8,-2.0
111,-19.8,-6.1
112,-19.8,-7.5
113,-19.8,-6.7
114,-19.8,-2.7
115,-19.8,-10.6
116,-19.8,-5.5
117,-19.8,-3.1
118,-19.8,-12.1
119,-19.8,-1.0
120,-19.8,0.0
121,-19.8,-3.8
122,-19.8,-15.8
123,-19.8,-5.5
124,-19.8,-1.0
125,-19.8,-2.9
126,-19.8,-15.3
127,-19.8,-1.9
128,-19.8,-7.3
129,-19.8,0.0
130,-19.8,-6.0
131,-19.8,-4.9
