iter,best_vals,current_vals
0,-8.6,-6.6
1,-8.6,-2.5
2,-8.6,-4.9
3,-8.6,-5.2
4,-8.6,-4.5
5,-8.6,-3.9
6,-8.6,-3.3
7,-8.6,-3.6
8,-8.6,-5.5
9,-8.6,-7.8
10,-8.6,-7.8
11,-8.6,-2.4
12,-8.6,-5.8
13,-8.6,-4.2
14,-8.6,-3.1
15,-8.6,-3.8
16,-8.6,-1.0
17,-8.6,-6.3
18,-8.6,-5.4
19,-8.6,-3.1
20,-8.6,-2.0
21,-8.6,-5.0
22,-8.6,-3.6
23,-8.6,-2.3
24,-8.6,-3.8
25,-8.6,-1.3
26,-8.6,-2.0
27,-8.6,-6.4
28,-8.6,-1.9
29,-8.6,-5.8
30,-8.6,-4.4
31,-8.6,-0.4
32,-8.6,-3.6
33,-8.6,-2.6
34,-8.6,-2.0
35,-8.6,-5.8
36,-8.6,-3.9
37,-8.6,0.0
38,-9.0,-9.0
39,-9.0,-6.9
40,-9.0,-2.8
41,-9.0,-2.0
42,-9.0,-7.0
43,-9.0,-7.3
44,-9.0,-3.3
45,-9.0,-3.5
46,-9.0,-1.3
47,-9.0,-5.0
48,-9.0,-6.5
49,-9.0,-6.1
50,-9.0,-4.7
51,-9.0,-4.8
52,-9.0,-1.1
53,-9.0,-4.9
54,-9.0,-3.4
55,-9.0,-4.2
56,-9.0,-3.9
57,-9.0,-5.4
58,-9.0,-2.4
59,-9.0,-9.0
60,-9.0,-4.9
61,-9.0,-7.5
62,-9.0,-4.2
63,-9.0,-8.5
64,-9.0,-4.7
65,-9.0,-7.8
66,-9.0,0.0
67,-12.1,-12.1
68,-12.1,-7.3
69,-12.1,-1.1
70,-12.1,-1.1
71,-12.1,-4.8
72,-12.1,-3.9
73,-12.1,-6.9
74,-12.1,-2.1
75,-12.1,-4.1
76,-12.1,-0.7
77,-12.1,-5.4
78,-12.1,-3.6
79,-12.1,-0.4
80,-12.1,-3.5
81,-12.1,-3.7
82,-12.1,-0.2
83,-12.1,-3.5
84,-12.1,0.0
85,-12.1,-5.7
86,-12.1,-3.3
87,-12.1,-6.2
88,-12.1,-6.6
89,-12.1,-2.8
90,-12.1,-1.1
91,-12.1,-0.5
92,-12.1,-5.1
93,-12.1,-4.1
94,-12.1,-1.2
95,-12.1,-3.3
96,-12.1,-4.8
97,-12.1,-3.6
98,-12.1,-2.8
99,-12.1,-2.1
100,-12.1,-5.1
101,-12.1,-4.5
102,-12.1,-3.7
103,-12.1,-6.6
104,-12.1,-0.1
105,-12.1,-2.9
106,-12.1,-1.7
107,-12.1,-2.9
108,-12.1,-5.0
109,-12.1,-0.2
110,-12.1,-6.4
111,-12.1,-5.2
112,-12.1,-5.4
113,-12.1,-4.9
114,-12.1,-5.1
115,-12.1,-3.7
116,-12.1,-5.3
117,-12.1,-2.2
118,-12.1,-2.9
119,-12.1,-1.5
120,-12.1,-7.5
121,-12.1,-1.7
122,-12.1,0.0
123,-12.1,-1.8
124,-12.1,-3.8
125,-12.1,-0.8
126,-12.1,0.0
127,-12.1,-6.3
128,-12.1,-2.8
129,-12.1,-7.7
130,-12.1,-4.9
131,-12.1,-4.7
132,-12.1,-0.7
133,-12.1,-3.8
134,-12.1,-2.0
135,-12.1,0.0
136,-12.1,-5.2
137,-12.1,-0.8
138,-12.1,-5.4
139,-12.1,-0.7
140,-12.1,-5.9
141,-12.1,-2.4
142,-12.1,0.0
143,-12.1,-2.9
144,-12.1,-8.3
145,-12.1,-8.6
146,-12.1,-1.6
147,-12.1,-6.5
148,-12.1,-2.0
149,-12.1,0.0
150,-12.1,-7.0
151,-12.1,-2.3
152,-12.1,-6.5
153,-12.1,-4.6
154,-16.7,-16.7
155,-16.7,-4.1
156,-16.7,-5.2
157,-16.7,-8.6
158,-16.7,-3.2
159,-16.7,-3.0
160,-16.7,-2.6
161,-16.7,-4.2
162,-16.7,-2.0
163,-16.7,-2.4
164,-16.7,-5.3
165,-16.7,-0.2
166,-16.7,-2.0
167,-16.7,-6.3
168,-16.7,0.0
169,-16.7,0.0
170,-16.7,-7.4
171,-16.7,-8.0
172,-16.7,-0.3
173,-16.7,-6.1
174,-16.7,-1.8
175,-16.7,-0.6
176,-16.7,-3.1
177,-16.7,-3.7
178,-16.7,-1.5
179,-16.7,-2.4
180,-16.7,-6.0
181,-16.7,-1.7
182,-16.7,-0.7
183,-16.7,-4.0
184,-16.7,-8.6
185,-16.7,-1.6
186,-16.7,-5.2
187,-16.7,-0.8
188,-16.7,0.0
189,-16.7,-5.2
190,-16.7,-0.5
191,-16.7,-8.9
192,-16.7,-1.4
193,-16.7,-1.7
194,-16.7,-3.7
195,-16.7,-7.3
196,-16.7,-0.5
197,-16.7,-2.0
198,-16.7,-1.2
199,-16.7,-6.0
200,-16.7,-2.7
201,-16.7,-1.7
202,-16.7,-9.3
203,-16.7,-4.0
204,-16.7,-0.6
205,-16.7,-1.3
206,-16.7,-2.9
207,-16.7,-1.0
208,-16.7,-5.2
209,-16.7,-0.7
210,-16.7,-1.0
211,-16.7,-0.9
212,-16.7,-2.3
213,-16.7,-7.7
214,-16.7,-4.4
215,-16.7,-9.1
216,-16.7,-1.5
217,-16.7,-5.2
218,-16.7,-3.6
219,-16.7,-4.0
220,-16.7,-3.2
221,-16.7,-5.5
222,-16.7,-3.3
223,-16.7,-2.1
224,-16.7,-1.9
225,-16.7,-5.9
226,-16.7,-4.9
227,-16.7,-4.8
228,-16.7,-3.5
229,-16.7,-12.2
230,-16.7,-2.4
231,-16.7,-4.0
232,-16.7,-5.8
233,-16.7,-1.4
234,-16.7,-2.6
235,-16.7,-2.8
236,-16.7,-7.5
237,-16.7,-2.3
238,-16.7,-2.3
239,-16.7,-2.8
240,-16.7,-8.1
241,-16.7,-3.9
242,-16.7,-3.4
243,-16.7,0.0
244,-16.7,-5.3
245,-16.7,-2.4
246,-16.7,-6.6
247,-16.7,-10.7
248,-16.7,-5.4
249,-16.7,-2.2
250,-16.7,-3.1
251,-16.7,0.0
252,-16.7,-4.4
253,-16.7,-2.8
254,-16.7,-6.7
255,-16.7,-6.6
256,-16.7,-2.8
257,-16.7,-6.1
258,-16.7,-4.2
259,-16.7,-1.3
260,-16.7,-2.2
261,-16.7,-1.4
262,-16.7,-3.0
263,-16.7,-7.3
264,-16.7,-6.5
265,-16.7,-5.0
266,-16.7,-2.8
267,-16.7,-1.2
268,-16.7,-6.1
269,-16.7,-1.9
270,-16.7,-5.2
271,-16.7,-1.8
272,-16.7,-5.0
273,-16.7,0.0
274,-16.7,-2.1
275,-16.7,-5.0
276,-16.7,-2.2
277,-16.7,-2.8
278,-16.7,-2.2
279,-16.7,-3.2
280,-16.7,-3.6
281,-16.7,-1.1
282,-16.7,-6.5
283,-16.7,-5.9
284,-16.7,-2.7
285,-16.7,-1.9
286,-16.7,-3.9
287,-16.7,-4.1
288,-16.7,-4.8
289,-16.7,-1.3
290,-16.7,-4.3
291,-16.7,0.0
292,-16.7,-2.7
293,-16.7,-3.2
294,-16.7,-1.8
295,-16.7,-6.9
296,-16.7,-0.3
297,-16.7,-3.7
298,-16.7,-3.2
299,-16.7,-2.0
