iter,best_vals,current_vals
0,-8.6,-2.9
1,-8.6,-1.7
2,-8.6,-3.2
3,-8.6,-2.7
4,-8.6,-2.5
5,-8.6,-5.8
6,-8.6,-3.7
7,-8.6,-6.2
8,-9.3,-9.3
9,-9.3,0.0
10,-10.9,-10.9
11,-10.9,-4.9
12,-10.9,-5.2
13,-10.9,-4.2
14,-10.9,-1.8
15,-10.9,-4.2
16,-10.9,-4.4
17,-10.9,-2.5
18,-10.9,-5.6
19,-10.9,-3.3
20,-10.9,-2.4
21,-10.9,-4.8
22,-10.9,-1.7
23,-10.9,-1.5
24,-10.9,-3.4
25,-10.9,-0.7
26,-10.9,-2.5
27,-10.9,-4.8
28,-10.9,-0.8
29,-10.9,-3.9
30,-10.9,-3.5
31,-10.9,-0.6
32,-10.9,-3.4
33,-10.9,-6.2
34,-10.9,-1.7
35,-10.9,-6.3
36,-10.9,-3.4
37,-10.9,-0.2
38,-10.9,-2.3
39,-10.9,-3.2
40,-10.9,-2.5
41,-10.9,-3.0
42,-10.9,-1.0
43,-10.9,-3.1
44,-10.9,-0.9
45,-10.9,-1.8
46,-10.9,-5.7
47,-10.9,-3.2
48,-10.9,-4.3
49,-10.9,-4.9
50,-10.9,-1.8
51,-10.9,-1.4
52,-10.9,-5.2
53,-10.9,-8.1
54,-10.9,-2.7
55,-10.9,-3.0
56,-10.9,-4.6
57,-10.9,-3.9
58,-10.9,-5.8
59,-10.9,-5.8
60,-10.9,-6.3
61,-10.9,-2.8
62,-10.9,-6.1
63,-10.9,-3.7
64,-10.9,-1.5
65,-10.9,-4.3
66,-10.9,-1.5
67,-10.9,-1.3
68,-10.9,-1.2
69,-10.9,0.0
70,-10.9,-6.2
71,-10.9,-3.6
72,-10.9,-3.0
73,-10.9,-2.6
74,-10.9,-6.0
75,-10.9,-4.4
76,-10.9,-7.1
77,-10.9,-2.4
78,-11.4,-11.4
79,-11.4,-5.5
80,-11.4,-0.4
81,-11.4,-4.5
82,-11.4,-0.4
83,-11.4,-3.7
84,-11.4,-5.0
85,-11.4,-4.4
86,-11.4,-4.5
87,-11.4,-4.9
88,-11.4,-2.9
89,-11.4,-2.5
90,-11.4,0.0
91,-11.4,-2.6
92,-11.4,-0.9
93,-11.4,-3.3
94,-11.4,-3.2
95,-11.4,-4.8
96,-11.4,-2.3
97,-11.4,-10.1
98,-11.4,-3.5
99,-11.4,-7.7
100,-11.4,-3.5
101,-11.4,-2.4
