iter,best_vals,current_vals
0,-8.6,0.0
1,-8.6,-2.1
2,-8.6,-3.4
3,-8.6,-5.9
4,-8.6,-2.3
5,-8.6,-4.7
6,-8.6,-7.5
7,-8.6,-7.0
8,-8.6,-3.2
9,-8.6,-2.0
10,-8.6,-5.7
11,-8.6,-0.2
12,-8.6,-3.1
13,-8.6,-4.2
14,-8.6,-4.6
15,-8.6,-2.7
16,-8.6,-5.6
17,-8.6,0.0
18,-8.6,-6.2
19,-8.6,-5.4
20,-8.6,-1.0
21,-8.6,-1.9
22,-8.6,-4.8
23,-8.6,-3.7
24,-8.6,-0.7
25,-8.6,-3.0
26,-15.0,-15.0
27,-15.0,-1.9
28,-15.0,-5.1
29,-15.0,-2.6
30,-15.0,-3.0
31,-15.0,-4.5
32,-15.0,-5.1
33,-15.0,-3.9
34,-15.0,-3.4
35,-15.0,-4.6
36,-15.0,-3.4
37,-15.0,-2.2
38,-15.0,-2.1
39,-15.0,-6.5
40,-15.0,-7.9
41,-15.0,-2.2
42,-15.0,-1.7
43,-15.0,-5.8
44,-15.0,-13.3
45,-15.0,0.0
46,-15.0,-4.3
47,-15.0,-8.6
48,-15.0,-7.4
49,-15.0,-3.2
50,-15.0,-1.5
51,-15.0,-3.7
52,-15.0,-6.5
53,-15.0,-8.0
54,-15.0,-4.3
55,-15.0,-3.8
56,-15.0,-1.6
57,-15.0,-0.8
58,-15.0,-2.7
59,-15.0,-4.6
60,-15.0,-2.1
61,-15.0,-1.1
62,-15.0,-6.4
63,-15.0,-4.5
64,-15.0,-2.8
65,-15.0,-6.8
66,-15.0,-1.6
67,-15.0,-2.1
68,-15.0,-9.1
69,-15.0,-0.3
70,-15.0,-10.5
71,-15.0,-5.1
72,-15.0,-4.4
73,-15.0,-2.4
74,-15.0,-2.1
75,-15.0,-2.2
76,-15.0,-4.4
77,-15.0,-3.8
78,-15.0,-4.5
79,-15.0,-0.5
80,-15.0,0.0
81,-15.0,-4.7
82,-15.0,-9.3
83,-15.0,-1.7
84,-15.0,-3.8
85,-15.0,-0.4
86,-15.0,-3.3
87,-15.0,-5.1
88,-15.0,-3.5
89,-15.0,-1.7
90,-15.0,-1.8
91,-15.0,-5.4
92,-15.0,-7.3
93,-15.0,-3.1
94,-15.0,-1.2
95,-15.0,-1.7
96,-15.0,-8.3
97,-15.0,0.0
98,-15.0,-5.1
99,-15.0,-1.8
100,-15.0,0.0
101,-15.0,-4.4
102,-15.0,-7.4
103,-15.0,-0.4
104,-15.0,-3.4
105,-15.0,-2.0
106,-15.0,-3.1
107,-15.0,-3.5
108,-15.0,-5.8
109,-15.0,-7.3
110,-15.0,-4.2
111,-15.0,-5.9
112,-15.0,-6.6
113,-15.0,-1.7
114,-15.0,-1.1
115,-15.0,-1.6
116,-15.0,-0.2
117,-15.0,-1.0
118,-15.0,0.0
119,-15.0,0.0
120,-15.0,-4.2
121,-15.0,-5.8
122,-15.0,-4.1
123,-15.0,-3.3
124,-15.0,-2.4
125,-15.0,-6.2
126,-15.0,-0.4
127,-15.0,-1.6
128,-15.0,-0.5
129,-15.0,-3.2
130,-15.0,-6.6
131,-15.0,0.0
132,-15.0,-3.9
133,-15.0,-1.8
134,-15.0,-6.6
135,-15.0,-5.3
136,-15.0,-3.8
137,-15.0,-5.8
138,-15.0,-10.1
139,-15.0,0.0
140,-15.0,-2.9
141,-15.0,-8.9
142,-15.0,-2.2
143,-15.0,-6.7
144,-15.0,-4.3
145,-15.0,-1.5
146,-15.0,-7.7
147,-15.0,-2.6
148,-15.0,-3.9
149,-15.0,-8.0
150,-15.0,-5.2
151,-15.0,-4.7
152,-15.0,-2.6
153,-15.0,0.0
154,-15.0,0.0
155,-15.0,-2.0
156,-15.0,-5.8
157,-15.0,-1.0
158,-15.0,0.0
159,-15.0,-5.8
160,-15.0,-2.6
161,-15.0,-4.8
162,-15.0,-3.8
163,-15.0,-3.2
164,-15.0,-8.5
165,-15.0,-4.8
166,-15.0,-4.4
167,-15.0,-3.5
168,-15.0,-2.9
169,-15.0,-6.6
170,-15.0,-1.8
171,-15.0,-4.6
172,-15.0,-1.7
173,-15.0,-8.4
174,-15.0,-1.2
175,-15.0,-5.5
176,-15.0,-9.8
177,-15.0,-1.5
178,-15.0,-1.5
179,-15.0,-4.8
180,-15.0,-2.5
181,-15.0,-7.5
182,-15.0,-1.9
183,-15.0,-3.6
184,-15.0,-0.4
185,-15.0,-4.5
186,-15.0,-1.5
187,-15.0,0.0
188,-15.0,-4.0
189,-15.0,-3.9
190,-15.0,-3.3
191,-15.0,-4.7
192,-15.0,-5.3
193,-15.0,-3.3
194,-15.0,-3.9
195,-15.0,-4.5
196,-15.0,0.0
197,-15.0,-7.0
198,-15.0,-2.9
199,-15.0,-3.0
200,-15.0,-5.6
201,-15.0,-3.4
202,-15.0,-4.7
203,-15.0,-5.1
204,-15.0,-2.8
205,-15.0,-5.2
206,-15.0,-5.7
207,-15.0,-5.9
208,-15.0,-4.8
209,-15.0,-5.1
210,-15.0,-2.4
211,-15.0,-4.5
212,-15.0,0.0
213,-15.0,-5.8
214,-15.0,-8.8
215,-15.0,-3.1
216,-15.0,-2.7
217,-15.0,-2.9
218,-15.0,-4.8
219,-15.0,-2.5
220,-15.0,-3.1
221,-15.0,-4.7
222,-15.0,-0.7
223,-15.0,-7.9
224,-15.0,-5.7
225,-15.0,-1.4
226,-15.0,-4.3
227,-15.0,-4.5
228,-15.0,-13.6
229,-15.0,-2.1
230,-15.0,-4.9
231,-15.0,-5.6
232,-15.0,-5.9
233,-15.0,-2.3
234,-15.0,-7.1
235,-15.0,-3.0
236,-15.0,-9.1
237,-15.0,-9.3
238,-15.0,-3.7
239,-15.0,-4.4
240,-15.0,-1.1
241,-15.0,-3.3
242,-15.0,-2.4
243,-15.0,-1.0
244,-15.0,-4.8
245,-15.0,-0.2
246,-15.0,-4.9
247,-15.0,-2.6
248,-15.0,-2.3
249,-15.0,-1.8
250,-15.0,0.0
251,-15.0,-4.5
252,-15.0,-2.9
253,-15.0,-7.4
254,-15.0,-3.0
255,-15.0,-1.6
256,-15.0,-2.0
257,-15.0,-3.7
258,-15.0,-2.8
259,-15.0,-3.7
260,-15.0,-4.0
261,-15.0,-5.1
262,-15.0,-4.8
263,-15.0,-4.1
264,-15.0,-3.1
265,-15.0,-0.1
266,-15.0,-3.9
267,-15.0,0.0
268,-15.0,-3.5
269,-15.0,-5.5
270,-15.0,-10.1
271,-15.0,-4.9
272,-15.0,-2.5
273,-15.0,-7.1
274,-15.0,-3.4
275,-15.0,-2.7
276,-15.0,0.0
277,-15.0,-3.9
278,-15.0,-5.2
279,-15.0,0.0
280,-15.0,0.0
281,-15.0,-2.9
282,-15.0,-7.1
283,-15.0,-1.7
284,-15.0,-1.8
285,-15.0,-3.9
286,-15.0,-1.8
287,-15.0,-7.1
288,-15.0,-1.7
289,-15.0,-6.3
290,-15.0,-0.5
291,-15.0,-4.4
292,-15.0,-5.1
293,-15.0,-2.0
294,-15.0,-0.7
295,-15.0,0.0
296,-15.0,-2.6
297,-15.0,0.0
298,-15.0,-4.1
299,-15.0,-3.0
300,-15.0,-3.2
301,-15.0,-5.2
302,-15.0,-0.4
303,-15.0,-11.7
304,-15.0,-4.0
305,-15.0,-2.2
306,-15.0,-1.2
307,-15.0,-6.1
308,-15.0,-4.1
309,-15.0,-5.7
310,-15.0,-4.0
311,-15.0,-3.1
312,-15.0,-6.9
313,-15.0,-6.5
314,-15.0,-3.9
315,-15.0,-4.9
316,-15.0,-0.6
317,-15.0,-1.2
318,-15.0,-5.3
319,-15.0,-3.5
320,-15.0,-2.8
321,-15.0,-7.9
322,-15.0,-9.1
323,-15.0,-3.9
324,-15.0,0.0
325,-15.0,-7.7
326,-15.0,0.0
327,-15.0,-2.5
328,-15.0,-3.0
329,-15.0,-1.9
330,-15.0,-3.1
331,-15.0,-5.2
332,-15.0,-1.3
333,-15.0,-1.0
334,-15.0,-4.9
335,-15.0,-4.9
336,-15.0,0.0
337,-15.0,-3.7
338,-15.0,-3.8
339,-15.0,-3.4
340,-15.0,0.0
341,-15.0,-3.3
342,-15.0,-4.5
343,-15.0,-0.2
344,-15.0,-4.6
345,-15.0,-1.7
346,-15.0,-4.1
347,-15.0,-4.6
348,-15.0,-1.3
349,-15.0,-2.8
350,-15.0,-6.0
351,-15.0,-5.4
352,-15.0,0.0
353,-15.0,-6.6
354,-15.0,0.0
355,-15.0,-3.4
356,-15.0,-5.6
357,-15.0,-0.9
358,-15.0,-8.4
359,-15.0,-7.0
360,-15.0,-5.9
361,-15.0,-5.1
362,-15.0,-0.3
363,-15.0,-4.0
364,-15.0,0.0
365,-15.0,-7.4
366,-15.0,0.0
367,-15.0,-1.9
368,-15.0,-7.9
369,-15.0,-1.7
370,-15.0,-3.4
371,-15.0,-8.1
372,-15.0,-1.5
373,-15.0,-7.3
374,-15.0,-3.3
375,-15.0,-4.6
376,-15.0,-1.6
377,-15.0,-3.0
378,-15.0,-4.2
379,-15.0,-2.9
380,-15.0,-4.0
381,-15.0,-6.9
382,-15.0,-6.8
383,-15.0,-8.1
384,-15.0,0.0
385,-15.0,-3.8
386,-15.0,-7.4
387,-15.0,-3.6
388,-15.0,-3.9
389,-15.0,-1.5
390,-15.0,-1.5
391,-15.0,-3.7
392,-15.0,-4.8
393,-15.0,-2.7
394,-15.0,-4.0
395,-15.0,0.0
396,-15.0,-2.6
397,-15.0,-7.4
398,-15.0,-0.5
399,-15.0,-5.0
400,-15.0,-2.4
401,-15.0,-11.0
402,-15.0,-0.8
403,-15.0,-1.4
404,-15.0,-0.6
405,-15.0,-2.6
406,-15.0,-5.9
407,-15.0,0.0
408,-15.0,-3.6
409,-15.0,-4.6
410,-15.0,-3.2
411,-15.0,-5.5
412,-15.0,-4.6
413,-15.0,-3.7
414,-15.0,-3.6
415,-15.0,-2.3
416,-15.0,-7.8
417,-15.0,-3.0
418,-15.0,-5.4
419,-15.0,-3.1
420,-15.0,-3.1
421,-15.0,-7.1
422,-15.0,-1.6
423,-15.0,0.0
424,-15.0,-1.2
425,-15.0,-7.0
426,-15.0,-1.3
427,-15.0,-9.1
428,-15.0,-2.7
429,-15.0,-7.4
430,-15.0,-4.6
431,-15.0,-5.2
432,-15.0,-4.3
433,-15.0,-13.1
434,-15.0,-0.7
435,-15.0,-2.7
436,-15.0,-2.6
437,-15.0,-4.6
438,-15.0,0.0
439,-15.0,0.0
440,-15.0,-1.0
441,-15.0,-2.6
442,-15.0,-1.2
443,-15.0,-3.9
444,-15.0,-10.4
445,-15.0,-5.1
446,-15.0,-3.1
447,-15.0,-9.0
448,-15.0,-0.6
449,-15.0,-4.2
450,-15.0,0.0
451,-15.0,-0.1
452,-15.0,-8.8
453,-15.0,-6.4
454,-15.0,-6.7
455,-15.0,-2.6
456,-15.0,-3.4
457,-15.0,-5.6
458,-15.0,-7.7
459,-15.0,-2.8
460,-15.0,-1.0
461,-15.0,0.0
462,-15.0,0.0
463,-15.0,-2.6
464,-15.0,-2.2
465,-15.0,-2.3
466,-15.0,-2.0
467,-15.0,-2.7
468,-15.0,-3.8
469,-15.0,-3.9
470,-15.0,-3.9
471,-15.0,-4.5
472,-15.0,0.0
473,-15.0,0.0
474,-15.0,-4.6
475,-15.0,-1.8
476,-15.0,-2.0
477,-15.0,-4.3
478,-15.0,-2.3
479,-15.0,0.0
480,-15.0,-8.6
481,-15.0,-1.2
482,-15.0,-0.3
483,-15.0,-6.1
484,-15.0,-4.2
485,-15.0,-5.8
486,-15.0,-2.7
487,-15.0,-6.2
488,-15.0,-5.5
489,-15.0,-3.7
490,-15.0,-2.3
491,-15.0,-3.3
492,-15.0,-5.4
493,-15.0,-2.3
494,-15.0,-5.5
495,-15.0,-7.6
496,-15.0,-2.9
497,-15.0,-7.4
498,-15.0,-2.5
499,-15.0,-3.0
