iter,best_vals,current_vals
0,-8.6,-1.1
1,-8.6,-7.0
2,-8.6,0.0
3,-8.6,-1.5
4,-9.1,-9.1
5,-9.1,-5.0
6,-9.1,-6.0
7,-9.2,-9.2
8,-9.2,-5.7
9,-9.2,-1.8
10,-9.2,-4.5
11,-9.2,-3.8
12,-9.2,-6.4
13,-9.2,-1.8
14,-9.2,-4.1
15,-9.2,-2.9
16,-9.2,-4.0
17,-9.2,-4.7
18,-9.2,-7.3
19,-9.2,-2.5
20,-9.2,-6.4
21,-9.2,-7.0
22,-9.2,-4.9
23,-9.2,-7.0
24,-9.2,-1.0
25,-9.2,-4.2
26,-9.2,-5.4
27,-9.2,-3.4
28,-13.6,-13.6
29,-13.6,-5.0
30,-13.6,-6.5
31,-13.6,-2.1
32,-13.6,-6.4
33,-13.6,0.0
34,-13.6,-11.8
35,-13.6,-1.9
36,-13.6,-5.2
37,-13.6,-4.6
38,-13.6,-2.6
39,-13.6,-5.1
40,-13.6,-6.0
41,-13.6,-2.7
42,-13.6,-1.6
43,-13.6,-3.1
44,-13.6,-1.1
45,-13.6,-0.5
46,-13.6,-2.5
47,-13.6,-0.3
48,-13.6,-10.7
49,-13.6,-0.1
50,-13.6,0.0
51,-13.6,-0.4
52,-13.6,-4.6
53,-13.6,-5.0
54,-13.6,-1.7
55,-13.6,-4.2
56,-13.6,-1.0
57,-13.6,-7.2
58,-13.6,-10.2
59,-13.6,-2.9
60,-13.6,-2.0
61,-13.6,-5.5
62,-13.6,0.0
63,-13.6,-3.4
64,-13.6,0.0
65,-13.6,-5.9
66,-13.6,-4.1
67,-13.6,-2.6
68,-13.6,-6.9
69,-13.6,-2.6
70,-13.6,-2.5
71,-13.6,-1.9
72,-13.6,0.0
73,-13.6,-2.0
74,-13.6,-5.3
75,-13.6,-4.1
76,-13.6,-3.3
77,-13.6,-6.6
78,-13.6,-8.3
79,-13.6,-9.8
80,-13.6,-0.4
81,-13.6,-3.0
82,-13.6,-10.6
83,-13.6,-1.8
84,-13.6,-6.1
85,-13.6,-2.3
86,-13.6,-2.9
87,-13.6,-1.3
88,-13.6,-3.1
89,-13.6,-4.5
90,-13.6,-0.7
91,-13.6,-7.7
92,-13.6,-3.9
93,-13.6,-5.7
94,-13.6,0.0
95,-13.6,-1.6
96,-13.6,-3.0
97,-13.6,-5.8
98,-13.6,-3.5
99,-13.6,-4.1
100,-13.6,-4.2
101,-13.6,-4.0
102,-13.6,-1.7
103,-13.6,-4.5
104,-13.6,-6.4
105,-13.6,-3.3
106,-13.6,-3.9
107,-13.6,-8.0
108,-13.6,-1.9
109,-13.6,-4.6
110,-13.6,-1.2
111,-13.6,-4.1
112,-13.6,-1.8
113,-13.6,-3.1
114,-13.6,-0.3
115,-13.6,-7.6
116,-13.6,-2.1
117,-13.6,-2.9
118,-13.6,-4.5
