,Iter,best_vals,current_vals
0,0.0,-8.6,-4.6
1,1.0,-8.6,0.0
2,2.0,-8.6,-1.9
3,3.0,-8.6,-7.6
4,4.0,-8.6,0.0
5,5.0,-8.6,-4.4
6,6.0,-8.6,-7.7
7,7.0,-8.6,-3.4
8,8.0,-8.6,-6.3
9,9.0,-8.6,-3.0
10,10.0,-11.1,-11.1
11,11.0,-11.1,-4.9
12,12.0,-11.1,0.0
13,13.0,-11.1,-5.7
14,14.0,-11.1,-8.5
15,15.0,-11.1,-1.4
16,16.0,-11.1,-2.4
17,17.0,-11.1,-3.6
18,18.0,-11.1,-4.0
19,19.0,-11.1,-1.3
20,20.0,-11.1,-4.5
21,21.0,-11.1,0.0
22,22.0,-11.1,-1.5
23,23.0,-11.1,-8.8
24,24.0,-11.1,-5.0
25,25.0,-11.1,-0.2
26,26.0,-11.1,-6.2
27,27.0,-11.1,-6.5
28,28.0,-11.1,-3.5
29,29.0,-11.1,-5.9
30,30.0,-11.1,-4.4
31,31.0,-11.1,-5.7
32,32.0,-11.1,-6.9
33,33.0,-11.1,-2.4
34,34.0,-11.1,-5.9
35,35.0,-11.1,-9.4
36,36.0,-11.1,-6.0
37,37.0,-11.1,-9.9
38,38.0,-11.1,-7.6
39,39.0,-11.1,-5.4
40,40.0,-11.1,-3.1
41,41.0,-11.1,-7.9
42,42.0,-11.1,-2.5
43,43.0,-11.1,-5.5
44,44.0,-11.1,-5.5
45,45.0,-11.1,-2.7
46,46.0,-11.1,-2.9
47,47.0,-11.1,-5.6
48,48.0,-11.1,-2.7
49,49.0,-11.1,0.0
50,50.0,-11.1,-7.0
51,51.0,-11.1,-5.0
52,52.0,-11.1,-5.3
53,53.0,-11.1,-4.2
54,54.0,-11.1,-3.0
55,55.0,-11.1,-6.3
56,56.0,-12.4,-12.4
57,57.0,-12.4,-2.6
58,58.0,-12.4,-0.9
59,59.0,-12.4,-7.5
60,60.0,-12.4,-6.7
61,61.0,-12.4,-8.6
62,62.0,-12.4,-2.1
63,63.0,-12.4,-1.6
64,64.0,-12.4,-7.5
65,65.0,-12.4,-6.4
66,66.0,-12.8,-12.8
67,67.0,-12.8,-10.7
68,68.0,-12.8,-1.3
69,69.0,-12.8,-1.6
70,70.0,-12.8,-5.8
71,71.0,-12.8,-0.4
72,72.0,-12.8,-2.1
73,73.0,-12.8,-7.7
74,74.0,-12.8,-8.8
75,75.0,-12.8,-4.8
76,76.0,-12.8,-7.4
77,77.0,-13.1,-13.1
78,78.0,-13.1,-4.8
79,79.0,-13.1,-3.6
80,80.0,-13.1,-9.0
81,81.0,-13.1,-7.9
82,82.0,-13.1,0.0
83,83.0,-13.1,-7.5
84,84.0,-13.1,-10.9
85,85.0,-13.1,-6.5
86,86.0,-13.1,-9.9
87,87.0,-13.1,-10.6
88,88.0,-13.1,-12.4
89,89.0,-13.1,-11.1
90,90.0,-13.1,-11.3
91,91.0,-13.1,-8.3
92,92.0,-13.1,-9.2
93,93.0,-13.1,-4.8
94,94.0,-13.1,-1.6
95,95.0,-13.1,-9.1
96,96.0,-13.1,-0.4
97,97.0,-16.5,-16.5
98,98.0,-16.5,-8.0
99,99.0,-16.5,-13.9
100,100.0,-16.5,-10.9
101,101.0,-16.5,-3.1
102,102.0,-16.5,-2.1
103,103.0,-16.5,-5.6
104,104.0,-16.5,-5.9
105,105.0,-16.5,-4.7
106,106.0,-16.5,-15.5
107,107.0,-16.5,-3.4
108,108.0,-16.5,-2.9
109,109.0,-16.5,-4.5
110,110.0,-16.5,-4.5
111,111.0,-16.5,-12.9
112,112.0,-16.5,-1.0
113,113.0,-16.5,-14.8
114,114.0,-16.5,-0.9
115,115.0,-16.5,-3.9
116,116.0,-16.5,-2.8
117,117.0,-16.5,-13.5
118,118.0,-16.5,-1.7
119,119.0,-16.5,-6.0
120,120.0,-16.5,-2.9
121,121.0,-16.5,-4.2
122,122.0,-16.5,-7.3
123,123.0,-16.5,-5.4
124,124.0,-16.5,0.0
125,125.0,-16.5,0.0
126,126.0,-16.5,-13.9
127,127.0,-16.5,-8.2
128,128.0,-16.5,-11.1
129,129.0,-16.5,-6.3
130,130.0,-16.5,-7.4
131,131.0,-16.5,-10.6
132,132.0,-16.5,-5.7
133,133.0,-16.5,-3.8
134,134.0,-16.5,-14.0
135,135.0,-16.5,-4.9
136,136.0,-16.5,-3.9
137,137.0,-16.5,-1.4
138,138.0,-16.5,-7.5
139,139.0,-16.5,-2.3
140,140.0,-16.5,-13.0
141,141.0,-16.5,-9.7
142,142.0,-16.5,-1.7
143,143.0,-16.5,-3.4
144,144.0,-16.5,-4.6
145,145.0,-16.5,-1.8
146,146.0,-16.5,-3.2
147,147.0,-16.5,-1.7
148,148.0,-16.5,-7.6
149,149.0,-16.5,-7.8
150,150.0,-16.5,-6.4
151,151.0,-16.5,-11.0
152,152.0,-17.1,-17.1
153,153.0,-17.1,-15.1
154,154.0,-17.1,-4.6
155,155.0,-17.1,-16.1
156,156.0,-17.1,-2.5
157,157.0,-17.1,-6.6
158,158.0,-17.1,-10.1
159,159.0,-17.1,-9.3
160,160.0,-17.1,-5.9
161,161.0,-17.1,-2.9
162,162.0,-17.1,-6.1
163,163.0,-17.1,-5.9
164,164.0,-17.1,-3.4
165,165.0,-17.1,-3.6
166,166.0,-17.1,-6.7
167,167.0,-17.1,-2.2
168,168.0,-17.7,-17.7
169,169.0,-18.1,-18.1
170,170.0,-18.1,-5.8
171,171.0,-18.1,-4.7
172,172.0,-18.1,-14.4
173,173.0,-18.1,-14.4
174,174.0,-18.1,-5.2
175,175.0,-18.1,-10.8
176,176.0,-18.1,-4.8
177,177.0,-18.1,-15.7
178,178.0,-18.1,-5.1
179,179.0,-18.1,-5.7
180,180.0,-18.1,-1.6
181,181.0,-18.1,-10.6
182,182.0,-18.1,-2.1
183,183.0,-18.1,-11.3
184,184.0,-18.1,-6.7
185,185.0,-18.1,-7.0
186,186.0,-18.1,-16.7
187,187.0,-18.1,-15.0
188,188.0,-18.1,-2.8
189,189.0,-18.2,-18.2
190,190.0,-18.2,-3.9
191,191.0,-18.2,-16.8
192,192.0,-18.2,-12.3
193,193.0,-18.2,-12.7
194,194.0,-18.2,-7.2
195,195.0,-18.2,-3.3
196,196.0,-18.2,-14.9
197,197.0,-18.2,-8.7
198,198.0,-18.2,-16.4
199,199.0,-18.2,-7.6
200,200.0,-18.2,-4.5
201,201.0,-18.2,-12.7
202,202.0,-18.2,-3.0
203,203.0,-18.2,-6.5
204,204.0,-18.2,-9.9
205,205.0,-18.2,-5.4
206,206.0,-18.2,-2.2
207,207.0,-18.2,-12.4
208,208.0,-18.2,-10.2
209,209.0,-18.2,-14.1
210,210.0,-18.2,-2.9
211,211.0,-18.2,-2.3
212,212.0,-19.6,-19.6
213,213.0,-19.6,-5.9
214,214.0,-19.6,-2.8
215,215.0,-19.6,-3.9
216,216.0,-19.6,-2.7
217,217.0,-19.6,-3.2
218,218.0,-19.6,-2.2
219,219.0,-19.6,-2.9
220,220.0,-19.6,-10.9
221,221.0,-19.6,-15.6
222,222.0,-19.6,-3.9
223,223.0,-19.6,-7.9
224,224.0,-19.6,-3.0
225,225.0,-19.6,-5.5
226,226.0,-19.6,-2.0
227,227.0,-19.6,-7.1
228,228.0,-19.6,-4.6
229,229.0,-19.6,-12.5
230,230.0,-19.6,-4.4
231,231.0,-19.6,-8.9
232,232.0,-19.6,-7.8
233,233.0,-19.6,-7.1
234,234.0,-19.7,-19.7
235,235.0,-19.7,-0.6
236,236.0,-19.7,-2.5
237,237.0,-19.7,-8.6
238,238.0,-19.7,-1.8
239,239.0,-19.7,-11.1
240,240.0,-19.7,-5.4
241,241.0,-19.7,-9.5
242,242.0,-19.7,-1.0
243,243.0,-19.7,-4.2
244,244.0,-19.7,-6.6
245,245.0,-19.7,-1.4
246,246.0,-19.7,0.0
247,247.0,-19.7,-5.4
248,248.0,-19.7,-0.6
249,249.0,-19.7,-10.9
250,250.0,-19.7,-10.7
251,251.0,-19.7,-0.9
252,252.0,-19.7,-15.7
253,253.0,-19.7,-7.7
254,254.0,-19.7,-2.9
255,255.0,-19.7,-5.6
256,256.0,-19.7,-13.5
257,257.0,-19.7,-5.5
258,258.0,-19.7,-9.3
259,259.0,-19.7,-10.4
260,260.0,-19.7,-11.2
261,261.0,-19.7,-1.5
262,262.0,-19.7,-12.1
263,263.0,-19.7,-7.4
264,264.0,-19.7,-3.2
265,265.0,-19.7,-0.6
266,266.0,-19.7,-11.4
267,267.0,-19.7,-9.4
268,268.0,-19.7,-6.0
269,269.0,-19.7,-0.8
270,270.0,-19.7,-9.6
271,271.0,-19.7,-3.1
272,272.0,-19.7,-15.6
273,273.0,-19.7,-4.9
274,274.0,-19.7,-6.3
275,275.0,-19.7,-11.9
276,276.0,-19.7,-12.6
277,277.0,-19.7,-0.8
278,278.0,-19.7,-7.9
279,279.0,-19.7,-3.0
280,280.0,-19.7,-2.3
281,281.0,-19.7,-8.0
282,282.0,-19.7,-5.6
283,283.0,-19.7,-3.5
284,284.0,-19.7,-1.8
285,285.0,-19.7,-7.5
286,286.0,-19.7,0.0
287,287.0,-19.7,-6.0
288,288.0,-19.7,-12.1
289,289.0,-19.7,-9.6
290,290.0,-19.7,-12.3
291,291.0,-19.7,-9.1
292,292.0,-19.7,-5.6
293,293.0,-19.7,-3.4
294,294.0,-19.7,-1.4
295,295.0,-19.7,-2.2
296,296.0,-19.7,-11.0
297,297.0,-19.7,-2.5
298,298.0,-19.7,-6.7
299,299.0,-19.7,-5.2
300,300.0,-19.7,-5.0
