iter,best_vals,current_vals
0,-8.6,-6.8
1,-8.6,-1.8
2,-8.6,-3.6
3,-8.6,-2.6
4,-8.6,-4.1
5,-8.6,-4.5
6,-8.6,-6.4
7,-8.6,0.0
8,-8.6,-5.4
9,-10.0,-10.0
10,-10.0,-2.9
11,-10.0,-3.8
12,-10.0,-0.5
13,-10.0,-3.5
14,-10.0,-4.4
15,-10.0,-1.8
16,-10.0,-1.5
17,-10.0,-0.2
18,-10.0,-3.7
19,-10.0,-5.2
20,-10.0,-3.3
21,-10.0,-3.6
22,-10.0,-0.2
23,-10.0,-4.2
24,-10.0,-2.1
25,-10.0,-6.4
26,-10.0,-1.8
27,-10.0,-7.0
28,-10.0,-7.9
29,-10.0,-0.7
30,-10.0,-0.4
31,-10.0,-5.8
32,-10.0,0.0
33,-10.0,-1.1
34,-10.0,0.0
35,-10.0,0.0
36,-10.0,-1.9
37,-10.0,-7.8
38,-10.0,-9.9
39,-10.0,-4.9
40,-10.0,-3.6
41,-10.0,-9.9
42,-10.0,-2.4
43,-10.0,-5.3
44,-10.0,-8.5
45,-10.0,-4.0
46,-10.0,-2.8
47,-10.0,-2.2
48,-10.0,-0.8
49,-10.0,-3.0
50,-10.0,-6.7
51,-10.0,-8.2
52,-10.0,-7.2
53,-11.0,-11.0
54,-11.0,-5.8
55,-11.0,-8.0
56,-11.0,-1.5
57,-11.0,-3.8
58,-11.0,-1.8
59,-11.0,-4.9
60,-11.0,-3.6
61,-11.0,-8.0
62,-11.0,-6.1
63,-11.0,-6.0
64,-11.0,-8.1
65,-11.0,-7.7
66,-11.0,-7.5
67,-11.0,-2.6
68,-11.0,-3.1
69,-11.0,-6.5
70,-11.0,-6.4
71,-11.0,-8.2
72,-11.0,-6.0
73,-11.0,-5.0
74,-11.0,-1.2
75,-11.0,-8.1
76,-11.0,-9.0
77,-11.0,-2.3
78,-11.0,-2.7
79,-12.5,-12.5
80,-12.5,-2.1
81,-12.5,-6.6
82,-12.5,-0.3
83,-12.5,-0.3
84,-12.5,-4.3
85,-12.5,-4.0
86,-12.5,-1.4
87,-12.5,-2.6
88,-12.5,0.0
89,-12.5,-3.0
90,-12.5,-3.7
91,-12.5,-0.7
92,-12.5,-6.4
93,-12.5,-2.0
94,-12.5,-0.7
95,-12.5,-4.2
96,-12.5,-4.0
97,-12.5,-2.7
98,-12.5,-5.1
99,-12.5,-3.4
100,-12.5,-3.5
101,-12.5,0.0
102,-12.5,0.0
103,-12.5,-1.5
104,-12.5,-11.0
105,-12.5,-2.9
106,-12.5,-1.9
107,-12.5,-10.4
108,-12.5,-4.3
109,-12.5,-5.2
110,-12.5,-6.8
111,-12.5,-2.6
112,-12.5,-7.4
113,-12.5,-2.1
114,-12.5,-7.1
115,-15.0,-15.0
116,-15.0,-8.2
117,-15.0,-3.1
118,-15.0,-6.5
119,-15.0,-1.8
120,-15.0,-6.8
121,-15.0,-7.3
122,-15.0,-4.7
123,-15.0,-8.3
124,-15.0,-4.8
125,-15.0,-4.2
126,-15.0,-10.0
127,-15.0,-3.1
128,-15.0,0.0
129,-15.0,-7.6
130,-15.0,-7.8
131,-15.0,-5.4
132,-15.0,-5.6
133,-15.0,-2.1
134,-15.0,-10.7
135,-15.0,-2.6
136,-15.0,-5.6
137,-15.0,-7.2
138,-15.0,0.0
139,-15.0,0.0
140,-15.0,-2.4
141,-15.0,-1.4
142,-15.0,-5.5
143,-15.0,-4.0
144,-15.0,-1.9
145,-15.0,-5.4
146,-15.0,-3.5
147,-15.0,-8.8
148,-15.0,-10.0
149,-15.0,-3.9
150,-15.0,0.0
151,-15.0,-2.5
152,-15.0,-2.7
153,-15.0,-4.7
154,-15.0,-1.1
155,-15.0,-0.5
156,-15.0,-3.4
157,-15.0,-3.0
158,-15.0,-2.6
159,-15.0,-0.8
160,-15.0,-2.9
161,-15.0,-0.4
162,-15.0,-3.9
163,-15.0,-0.4
164,-15.0,-0.2
165,-15.0,-3.1
166,-15.0,-4.5
167,-15.0,-2.9
168,-15.0,-4.6
169,-15.0,-6.2
170,-15.0,-0.5
171,-15.0,-6.0
172,-15.0,-0.8
173,-15.0,-4.5
174,-15.0,-4.5
175,-15.0,-2.8
176,-15.0,-4.4
177,-15.0,-6.6
178,-15.0,-5.5
179,-15.0,-3.5
180,-15.0,-3.9
181,-15.0,-0.8
182,-15.0,-1.4
183,-15.0,0.0
184,-15.0,-2.9
185,-15.0,-5.8
186,-15.0,-1.0
187,-15.0,-5.5
188,-15.0,-0.6
189,-15.0,-7.3
190,-15.0,-6.7
191,-15.0,-1.2
192,-15.0,-5.5
193,-15.0,0.0
194,-15.0,-1.5
195,-15.0,-0.9
196,-15.0,-1.9
197,-15.0,-3.3
198,-15.0,-3.3
199,-15.0,-1.9
200,-15.0,-7.0
201,-15.0,-1.5
202,-15.0,-1.1
203,-15.0,-6.4
204,-15.0,-7.5
205,-15.0,-2.2
206,-15.0,-2.5
207,-15.0,-0.8
208,-15.0,-1.4
209,-15.0,-6.9
210,-15.0,0.0
211,-15.0,-7.9
212,-15.0,-8.0
213,-15.0,-1.0
214,-15.0,-3.3
215,-15.0,-8.3
216,-15.0,-8.2
217,-15.0,-1.3
218,-15.0,-8.5
219,-15.0,-8.6
220,-15.0,-4.9
221,-15.0,-10.8
222,-15.0,-4.0
223,-15.0,-2.8
224,-15.0,-3.3
225,-15.0,-3.6
226,-15.0,-2.8
227,-15.0,-2.4
228,-15.0,-4.0
229,-15.0,-0.7
230,-15.0,-1.5
231,-15.0,-3.3
232,-15.0,-4.7
233,-15.0,-8.1
234,-15.0,0.0
235,-15.0,-1.5
236,-15.0,-1.7
237,-15.0,-6.0
238,-15.0,-4.1
239,-15.0,0.0
240,-15.0,-6.9
241,-15.0,-2.5
242,-15.0,-7.9
243,-15.0,-2.4
244,-15.0,-0.8
245,-15.0,0.0
246,-15.0,-4.3
247,-15.0,-8.0
248,-15.0,-4.4
249,-15.0,-3.9
250,-15.0,-2.6
251,-15.0,-1.7
252,-15.0,-2.9
253,-15.0,-3.4
254,-15.0,-5.4
255,-15.0,-1.8
256,-15.0,-1.7
257,-15.0,0.0
258,-15.0,-0.7
259,-15.0,-7.0
260,-15.0,-3.9
261,-15.0,-4.9
262,-15.0,-1.1
263,-15.0,-1.2
264,-15.0,-3.1
265,-15.0,-3.1
266,-15.0,-9.8
267,-15.0,-2.6
268,-15.0,-2.3
269,-15.0,-0.4
270,-15.0,-0.7
271,-15.0,-0.8
272,-15.0,-1.4
273,-15.0,-9.9
274,-15.0,-2.3
275,-15.0,-1.4
276,-15.0,-0.4
277,-15.0,-0.2
278,-15.0,-2.1
279,-15.0,-4.7
280,-15.0,0.0
281,-15.0,-4.4
282,-15.0,-2.7
283,-15.0,0.0
284,-15.0,-1.6
285,-15.0,-10.7
286,-15.0,-2.2
287,-15.0,-6.9
288,-15.0,-3.9
289,-15.0,-4.1
290,-15.0,-1.0
291,-15.0,-3.2
292,-15.0,-5.9
293,-15.0,-2.2
294,-15.0,-5.1
295,-15.0,-1.4
296,-15.0,-3.5
297,-15.0,-3.1
298,-15.0,-1.7
299,-15.0,0.0
300,-15.0,-0.7
301,-15.0,-3.1
302,-15.0,-1.5
303,-15.0,-2.8
304,-15.0,-5.9
305,-15.0,-8.9
306,-15.0,-4.0
307,-15.0,-2.5
308,-15.0,-4.1
309,-15.0,0.0
310,-15.0,-8.1
311,-15.0,-2.4
312,-15.0,-11.1
313,-15.0,-1.3
314,-15.0,-3.0
315,-15.0,-5.4
316,-15.0,-3.3
317,-15.0,-3.0
318,-15.0,-6.2
319,-15.0,-5.7
320,-15.0,-7.8
321,-15.0,-3.0
322,-15.0,0.0
323,-15.0,-4.7
324,-15.0,-4.8
325,-15.0,-4.3
326,-15.0,-5.9
327,-15.0,-2.9
328,-15.0,-4.2
329,-15.0,-2.5
330,-15.0,0.0
331,-15.0,-6.7
332,-15.0,-4.3
333,-15.0,-5.7
334,-15.0,-7.6
335,-15.0,-5.1
336,-15.0,-10.4
337,-15.0,-8.9
338,-15.0,-2.9
339,-15.0,-6.0
340,-15.0,-4.9
341,-15.0,-2.3
342,-15.0,-4.9
343,-15.0,-4.2
344,-15.0,-5.3
345,-15.0,-6.1
346,-15.0,-3.8
347,-15.0,-2.5
348,-15.0,-1.1
349,-15.0,-4.0
350,-15.0,-0.5
351,-15.0,-4.1
352,-15.0,-1.3
353,-15.0,-3.6
354,-15.0,-4.9
355,-15.0,-0.8
356,-15.0,-1.8
357,-15.0,0.0
358,-15.0,-4.3
359,-15.0,-4.3
360,-15.0,-8.1
361,-15.0,-0.9
362,-15.0,-1.2
363,-15.0,-5.0
364,-15.0,-7.1
365,-15.0,-11.5
366,-15.0,-4.3
367,-15.0,-4.5
368,-15.0,-5.0
369,-15.0,-1.4
370,-15.0,0.0
371,-15.0,-1.4
372,-15.0,-2.1
373,-15.0,0.0
374,-15.0,0.0
375,-15.0,0.0
376,-15.0,-3.8
377,-15.0,-2.3
378,-15.0,-3.4
379,-15.0,-1.7
380,-15.0,-6.1
381,-15.0,-4.6
382,-15.0,-2.6
383,-15.0,-7.5
384,-15.0,-3.5
385,-15.0,-4.7
386,-15.0,-1.6
387,-15.0,-3.0
388,-15.0,-2.2
389,-15.0,-1.0
390,-15.0,-13.5
391,-15.0,-5.0
392,-15.0,-0.2
393,-15.0,-3.7
394,-15.0,-1.4
395,-15.0,-1.4
396,-15.0,-3.3
397,-15.0,-5.2
398,-15.0,-5.0
399,-15.4,-15.4
400,-15.4,-1.6
401,-15.4,-5.8
402,-15.4,-1.9
403,-15.4,-5.9
404,-15.4,-0.2
405,-15.4,-2.1
406,-15.4,0.0
407,-15.4,0.0
408,-15.4,-15.2
409,-15.4,0.0
410,-15.4,-2.0
411,-15.4,-1.4
412,-15.4,-3.2
413,-15.4,-1.2
414,-15.4,-1.3
415,-15.4,-1.5
416,-15.4,-3.6
417,-15.4,-8.9
418,-15.4,-1.7
419,-15.4,-2.5
420,-15.4,-7.8
421,-15.4,-2.5
422,-15.4,-1.2
423,-15.4,-4.1
424,-15.4,-4.5
425,-15.4,-2.9
426,-15.4,-6.4
427,-15.4,0.0
428,-15.4,-1.6
429,-15.4,-6.7
430,-15.4,-2.0
431,-15.4,-6.3
432,-15.4,-1.0
433,-15.4,0.0
434,-15.4,-2.3
435,-15.4,-4.0
436,-15.4,0.0
437,-15.4,-6.8
438,-15.4,-7.8
439,-15.4,-2.7
440,-15.4,-3.3
441,-15.4,-4.6
442,-15.4,-2.5
443,-15.4,-11.3
444,-15.4,-3.9
445,-15.4,-2.9
446,-15.4,-1.0
447,-15.4,-2.5
448,-15.4,-8.2
449,-15.4,-1.8
450,-15.4,-4.9
451,-15.4,-1.4
452,-15.4,0.0
453,-15.4,-5.4
454,-15.4,-5.4
455,-15.4,-1.5
456,-15.4,-2.4
457,-15.4,-5.6
458,-15.4,-2.8
459,-15.4,-7.1
460,-15.4,-4.9
461,-15.4,-0.5
462,-15.4,-4.4
463,-15.4,0.0
464,-15.4,-4.4
465,-15.4,-6.0
466,-15.4,-10.0
467,-15.4,-6.8
468,-15.4,-2.2
469,-15.4,-1.6
470,-15.4,-6.1
471,-15.4,-3.1
472,-15.4,-2.1
473,-15.4,-5.0
474,-15.4,-2.3
475,-15.4,-4.3
476,-15.4,-6.1
477,-15.4,-2.8
478,-15.4,-9.2
479,-15.4,-2.1
480,-15.4,0.0
481,-15.4,-1.5
482,-15.4,-9.1
483,-15.4,-3.6
484,-15.4,0.0
485,-15.4,-5.1
486,-15.4,-3.6
487,-15.4,-2.7
488,-15.4,-5.1
489,-15.4,-0.5
490,-15.4,-4.6
491,-15.4,-5.5
492,-15.4,-3.5
493,-15.4,-6.0
494,-15.4,0.0
495,-15.4,0.0
496,-15.4,-8.2
497,-15.4,-1.8
498,-15.4,-2.1
499,-15.4,-1.3
