iter,best_vals,current_vals
0,-8.6,-5.9
1,-8.6,-1.2
2,-8.6,-3.8
3,-8.6,-0.7
4,-8.6,-2.4
5,-8.6,-8.4
6,-8.6,-7.6
7,-8.6,-2.8
8,-8.6,-5.5
9,-8.6,-3.6
10,-8.6,-6.2
11,-8.6,-2.3
12,-8.6,-3.6
13,-8.6,-2.6
14,-8.6,-0.2
15,-8.6,0.0
16,-9.1,-9.1
17,-9.1,-3.1
18,-9.1,-4.3
19,-9.1,-5.1
20,-9.1,-5.0
21,-9.1,-4.7
22,-9.1,-3.0
23,-9.1,-2.4
24,-9.1,-0.9
25,-9.1,-6.3
26,-9.1,-3.9
27,-9.1,-4.1
28,-9.1,-6.7
29,-9.1,-1.2
30,-9.1,-2.9
31,-9.1,-5.7
32,-13.0,-13.0
33,-13.0,-5.8
34,-13.0,-6.2
35,-13.0,-0.1
36,-13.0,-2.8
37,-13.0,-5.3
38,-13.0,-4.2
39,-13.0,-2.1
40,-13.0,-2.9
41,-13.0,-2.5
42,-13.0,-5.4
43,-13.0,-4.2
44,-13.0,-2.8
45,-13.0,-2.5
46,-13.0,-11.8
47,-13.0,-1.9
48,-13.0,-3.1
49,-13.0,-5.4
50,-13.0,-0.3
51,-13.0,-2.3
52,-13.0,-6.4
53,-13.0,0.0
54,-13.0,-4.6
55,-13.0,-5.6
56,-13.0,-2.9
57,-13.0,-4.7
58,-13.0,-2.8
59,-13.0,-6.2
60,-13.0,-1.3
61,-13.0,-4.4
62,-13.0,-1.3
63,-13.0,-4.5
64,-13.0,-5.4
65,-13.0,-3.0
66,-13.0,-1.3
67,-13.0,-4.8
68,-13.0,-0.7
69,-13.0,-3.1
70,-13.0,-3.8
71,-13.0,-7.4
72,-13.0,-8.5
73,-13.0,-3.5
74,-13.0,-4.8
75,-13.0,-5.3
76,-13.0,-3.0
77,-13.0,-3.8
78,-13.0,-6.1
79,-13.0,-4.5
80,-13.0,0.0
81,-13.0,-0.3
82,-13.0,-2.8
83,-13.0,-0.1
84,-13.0,-7.9
85,-13.0,-4.6
86,-13.0,-6.7
87,-13.0,-9.8
88,-13.0,-2.0
89,-13.0,-6.9
90,-13.0,-7.7
91,-13.0,-0.6
92,-13.0,-2.7
93,-13.0,-0.6
94,-13.0,-10.7
95,-13.0,-2.3
96,-13.0,-7.2
97,-13.0,-2.6
98,-13.0,-3.0
99,-13.0,-6.1
100,-13.0,-4.1
101,-13.0,-1.7
102,-13.0,-3.7
103,-13.0,-5.3
104,-13.0,-0.9
105,-13.0,-2.6
106,-13.0,-8.0
107,-13.0,-0.9
108,-13.0,-2.3
109,-13.0,-7.2
110,-13.0,-5.1
111,-13.0,-1.9
112,-13.0,-4.4
113,-13.0,-2.8
114,-13.0,0.0
115,-13.0,-3.6
116,-13.0,-3.4
117,-13.0,-4.7
118,-13.0,-3.9
119,-13.0,-6.0
120,-13.0,-5.4
121,-13.0,-4.7
122,-13.0,-5.4
123,-13.0,-1.2
124,-13.0,-8.8
125,-13.0,-5.5
126,-13.0,-4.9
127,-13.0,-1.5
128,-13.0,-8.5
129,-13.0,-5.5
130,-13.0,-2.7
131,-13.0,0.0
132,-13.0,-3.6
133,-13.0,-2.2
134,-13.0,-2.8
135,-13.0,-1.3
136,-13.0,-5.0
137,-13.0,-2.6
138,-13.0,0.0
