iter,best_vals,current_vals
0,-8.6,-6.0
1,-8.6,-6.0
2,-8.6,-6.0
3,-8.6,-6.0
4,-8.6,-6.0
5,-8.6,-6.0
6,-8.6,-6.0
7,-8.6,-6.0
8,-8.6,-6.0
9,-8.6,-6.0
10,-8.6,-6.0
11,-8.6,-6.0
12,-8.6,-6.0
13,-8.6,-6.0
14,-8.6,-6.0
15,-8.6,-6.0
16,-8.6,-6.0
17,-8.6,-6.0
18,-8.6,-6.0
19,-8.6,-6.0
20,-8.6,-6.0
21,-8.6,-6.0
22,-8.6,-6.0
23,-8.6,-6.0
24,-8.6,-6.0
25,-8.6,-6.0
26,-8.6,-6.0
27,-8.6,-6.0
28,-8.6,-6.0
29,-8.6,-6.0
30,-8.6,-6.0
31,-8.6,-6.0
32,-8.6,-6.0
33,-8.6,-6.0
34,-8.6,-6.0
35,-8.6,-6.0
36,-8.6,-6.0
37,-8.6,-6.0
38,-8.6,-6.0
39,-8.6,-6.0
40,-8.6,-6.0
41,-8.6,-6.0
42,-8.6,-6.0
43,-8.6,-6.0
44,-8.6,-6.0
45,-8.6,-6.0
46,-8.6,-6.0
47,-8.6,-6.0
48,-8.6,-6.0
49,-8.6,-6.0
50,-8.6,-6.0
51,-8.6,-6.0
52,-8.6,-6.0
53,-8.6,-6.0
54,-8.6,-6.0
55,-8.6,-6.0
56,-8.6,-6.0
57,-8.6,-6.0
58,-8.6,-6.0
59,-8.6,-6.0
60,-8.6,-6.0
61,-8.6,-6.0
62,-8.6,-6.0
63,-8.6,-6.0
64,-8.6,-6.0
65,-8.6,-6.0
66,-8.6,-6.0
67,-8.6,-6.0
68,-8.6,-6.0
69,-8.6,-6.0
70,-8.6,-6.0
71,-8.6,-6.0
72,-8.6,-6.0
73,-8.6,-6.0
74,-8.6,-6.0
75,-8.6,-6.0
76,-8.6,-6.0
77,-8.6,-6.0
78,-8.6,-6.0
79,-8.6,-6.0
80,-8.6,-6.0
81,-8.6,-6.0
82,-8.6,-6.0
83,-8.6,-6.0
84,-8.6,-6.0
85,-8.6,-6.0
86,-8.6,-6.0
87,-8.6,-6.0
88,-8.6,-6.0
89,-8.6,-6.0
90,-8.6,-6.0
91,-8.6,-6.0
92,-8.6,-6.0
93,-8.6,-6.0
94,-8.6,-6.0
95,-8.6,-6.0
96,-8.6,-6.0
97,-8.6,-6.0
98,-8.6,-6.0
99,-8.6,-6.0
100,-8.6,-6.0
101,-8.6,-6.0
102,-8.6,-6.0
103,-8.6,-6.0
104,-8.6,-6.0
105,-8.6,-6.0
106,-8.6,-6.0
107,-8.6,-6.0
108,-8.6,-6.0
109,-8.6,-6.0
110,-8.6,-6.0
111,-8.6,-6.0
112,-8.6,-6.0
113,-8.6,-6.0
114,-8.6,-6.0
115,-8.6,-6.0
116,-8.6,-6.0
117,-8.6,-6.0
118,-8.6,-6.0
119,-8.6,-6.0
120,-8.6,-6.0
121,-8.6,-6.0
122,-8.6,-6.0
123,-8.6,-6.0
124,-8.6,-6.0
125,-8.6,-6.0
126,-8.6,-6.0
127,-8.6,-6.0
128,-8.6,-6.0
129,-8.6,-6.0
130,-8.6,-6.0
131,-8.6,-6.0
132,-8.6,-6.0
133,-8.6,-6.0
134,-8.6,-6.0
135,-8.6,-6.0
136,-8.6,-6.0
137,-8.6,-6.0
138,-8.6,-6.0
139,-8.6,-6.0
140,-8.6,-6.0
141,-8.6,-6.0
142,-8.6,-6.0
143,-8.6,-6.0
144,-8.6,-6.0
145,-8.6,-6.0
146,-8.6,-6.0
147,-8.6,-6.0
148,-8.6,-6.0
149,-8.6,-6.0
150,-8.6,-6.0
151,-8.6,-6.0
152,-8.6,-6.0
153,-8.6,-6.0
154,-8.6,-6.0
155,-8.6,-6.0
156,-8.6,-6.0
157,-8.6,-6.0
158,-8.6,-6.0
159,-8.6,-6.0
160,-8.6,-6.0
161,-8.6,-6.0
162,-8.6,-6.0
163,-8.6,-6.0
164,-8.6,-6.0
165,-8.6,-6.0
166,-8.6,-6.0
167,-8.6,-6.0
168,-8.6,-6.0
169,-8.6,-6.0
170,-8.6,-6.0
171,-8.6,-6.0
172,-8.6,-6.0
173,-8.6,-6.0
174,-8.6,-6.0
175,-8.6,-6.0
176,-8.6,-6.0
177,-8.6,-6.0
178,-8.6,-6.0
179,-8.6,-6.0
180,-8.6,-6.0
181,-8.6,-6.0
182,-8.6,-6.0
183,-8.6,-6.0
184,-8.6,-6.0
185,-8.6,-6.0
186,-8.6,-6.0
187,-8.6,-6.0
188,-8.6,-6.0
189,-8.6,-6.0
190,-8.6,-6.0
191,-8.6,-6.0
192,-8.6,-6.0
193,-8.6,-6.0
194,-8.6,-6.0
195,-8.6,-6.0
196,-8.6,-6.0
197,-8.6,-6.0
198,-8.6,-6.0
199,-8.6,-6.0
200,-8.6,-6.0
201,-8.6,-6.0
202,-8.6,-6.0
203,-8.6,-6.0
204,-8.6,-6.0
205,-8.6,-6.0
206,-8.6,-6.0
207,-8.6,-6.0
208,-8.6,-6.0
209,-8.6,-6.0
210,-8.6,-6.0
211,-8.6,-6.0
212,-8.6,-6.0
213,-8.6,-6.0
214,-8.6,-6.0
215,-8.6,-6.0
216,-8.6,-6.0
217,-8.6,-6.0
218,-8.6,-6.0
219,-8.6,-6.0
220,-8.6,-6.0
221,-8.6,-6.0
222,-8.6,-6.0
223,-8.6,-6.0
224,-8.6,-6.0
225,-8.6,-6.0
226,-8.6,-6.0
227,-8.6,-6.0
228,-8.6,-6.0
229,-8.6,-6.0
230,-8.6,-6.0
231,-8.6,-6.0
232,-8.6,-6.0
233,-8.6,-6.0
234,-8.6,-6.0
235,-8.6,-6.0
236,-8.6,-6.0
237,-8.6,-6.0
238,-8.6,-6.0
239,-8.6,-6.0
240,-8.6,-6.0
241,-8.6,-6.0
242,-8.6,-6.0
243,-8.6,-6.0
244,-8.6,-6.0
245,-8.6,-6.0
246,-8.6,-6.0
247,-8.6,-6.0
248,-8.6,-6.0
249,-8.6,-6.0
250,-8.6,-6.0
251,-8.6,-6.0
252,-8.6,-6.0
253,-8.6,-6.0
254,-8.6,-6.0
255,-8.6,-6.0
256,-8.6,-6.0
257,-8.6,-6.0
258,-8.6,-6.0
259,-8.6,-6.0
260,-8.6,-6.0
261,-8.6,-6.0
262,-8.6,-6.0
263,-8.6,-6.0
264,-8.6,-6.0
265,-8.6,-6.0
266,-8.6,-6.0
267,-8.6,-6.0
268,-8.6,-6.0
269,-8.6,-6.0
270,-8.6,-6.0
271,-8.6,-6.0
272,-8.6,-6.0
273,-8.6,-6.0
274,-8.6,-6.0
275,-8.6,-6.0
276,-8.6,-6.0
277,-8.6,-6.0
278,-8.6,-6.0
279,-8.6,-6.0
280,-8.6,-6.0
281,-8.6,-6.0
282,-8.6,-6.0
283,-8.6,-6.0
284,-8.6,-6.0
285,-8.6,-6.0
286,-8.6,-6.0
287,-8.6,-6.0
288,-8.6,-6.0
289,-8.6,-6.0
290,-8.6,-6.0
291,-8.6,-6.0
292,-8.6,-6.0
293,-8.6,-6.0
294,-8.6,-6.0
295,-8.6,-6.0
296,-8.6,-6.0
297,-8.6,-6.0
298,-8.6,-6.0
299,-8.6,-6.0
300,-8.6,-6.0
301,-8.6,-6.0
302,-8.6,-6.0
303,-8.6,-6.0
304,-8.6,-6.0
305,-8.6,-6.0
306,-8.6,-6.0
307,-8.6,-6.0
308,-8.6,-6.0
309,-8.6,-6.0
310,-8.6,-6.0
311,-8.6,-6.0
312,-8.6,-6.0
313,-8.6,-6.0
314,-8.6,-6.0
315,-8.6,-6.0
316,-8.6,-6.0
317,-8.6,-6.0
318,-8.6,-6.0
319,-8.6,-6.0
320,-8.6,-6.0
321,-8.6,-6.0
322,-8.6,-6.0
323,-8.6,-6.0
324,-8.6,-6.0
325,-8.6,-6.0
326,-8.6,-6.0
327,-8.6,-6.0
328,-8.6,-6.0
329,-8.6,-6.0
330,-8.6,-6.0
331,-8.6,-6.0
332,-8.6,-6.0
333,-8.6,-6.0
334,-8.6,-6.0
335,-8.6,-6.0
336,-8.6,-6.0
337,-8.6,-6.0
338,-8.6,-6.0
339,-8.6,-6.0
340,-8.6,-6.0
341,-8.6,-6.0
342,-8.6,-6.0
343,-8.6,-6.0
344,-8.6,-6.0
345,-8.6,-6.0
346,-8.6,-6.0
347,-8.6,-6.0
348,-8.6,-6.0
349,-8.6,-6.0
350,-8.6,-6.0
351,-8.6,-6.0
352,-8.6,-6.0
353,-8.6,-6.0
354,-8.6,-6.0
355,-8.6,-6.0
356,-8.6,-6.0
357,-8.6,-6.0
358,-8.6,-6.0
359,-8.6,-6.0
360,-8.6,-6.0
361,-8.6,-6.0
362,-8.6,-6.0
363,-8.6,-6.0
364,-8.6,-6.0
365,-8.6,-6.0
366,-8.6,-6.0
367,-8.6,-6.0
368,-8.6,-6.0
369,-8.6,-6.0
370,-8.6,-6.0
371,-8.6,-6.0
372,-8.6,-6.0
373,-8.6,-6.0
374,-8.6,-6.0
375,-8.6,-6.0
376,-8.6,-6.0
377,-8.6,-6.0
378,-8.6,-6.0
379,-8.6,-6.0
380,-8.6,-6.0
381,-8.6,-6.0
382,-8.6,-6.0
383,-8.6,-6.0
384,-8.6,-6.0
385,-8.6,-6.0
386,-8.6,-6.0
387,-8.6,-6.0
388,-8.6,-6.0
389,-8.6,-6.0
390,-8.6,-6.0
391,-8.6,-6.0
392,-8.6,-6.0
393,-8.6,-6.0
394,-8.6,-6.0
395,-8.6,-6.0
396,-8.6,-6.0
397,-8.6,-6.0
398,-8.6,-6.0
399,-8.6,-6.0
400,-8.6,-6.0
401,-8.6,-6.0
402,-8.6,-6.0
403,-8.6,-6.0
404,-8.6,-6.0
405,-8.6,-6.0
406,-8.6,-6.0
407,-8.6,-6.0
408,-8.6,-6.0
409,-8.6,-6.0
410,-8.6,-6.0
411,-8.6,-6.0
412,-8.6,-6.0
413,-8.6,-6.0
414,-8.6,-6.0
415,-8.6,-6.0
416,-8.6,-6.0
417,-8.6,-6.0
418,-8.6,-6.0
419,-8.6,-6.0
420,-8.6,-6.0
421,-8.6,-6.0
422,-8.6,-6.0
423,-8.6,-6.0
424,-8.6,-6.0
425,-8.6,-6.0
426,-8.6,-6.0
427,-8.6,-6.0
428,-8.6,-6.0
429,-8.6,-6.0
430,-8.6,-6.0
431,-8.6,-6.0
432,-8.6,-6.0
433,-8.6,-6.0
434,-8.6,-6.0
435,-8.6,-6.0
436,-8.6,-6.0
437,-8.6,-6.0
438,-8.6,-6.0
439,-8.6,-6.0
440,-8.6,-6.0
441,-8.6,-6.0
442,-8.6,-6.0
443,-8.6,-6.0
444,-8.6,-6.0
445,-8.6,-6.0
446,-8.6,-6.0
447,-8.6,-6.0
448,-8.6,-6.0
449,-8.6,-6.0
450,-8.6,-6.0
451,-8.6,-6.0
452,-8.6,-6.0
453,-8.6,-6.0
454,-8.6,-6.0
455,-8.6,-6.0
456,-8.6,-6.0
457,-8.6,-6.0
458,-8.6,-6.0
459,-8.6,-6.0
460,-8.6,-6.0
461,-8.6,-6.0
462,-8.6,-6.0
463,-8.6,-6.0
464,-8.6,-6.0
465,-8.6,-6.0
466,-8.6,-6.0
467,-8.6,-6.0
468,-8.6,-6.0
469,-8.6,-6.0
470,-8.6,-6.0
471,-8.6,-6.0
472,-8.6,-6.0
473,-8.6,-6.0
474,-8.6,-6.0
475,-8.6,-6.0
476,-8.6,-6.0
477,-8.6,-6.0
478,-8.6,-6.0
479,-8.6,-6.0
